Spécialité commerciale;Matière active (M.A.);Autre;Concentration en M.A. (% );Dose d'homologation (en kg ou L / ha);Dose d'homologation (en kg ou L / ha);Nombre de traitements autorisés;Spécialité commerciale;Matière active (M.A.);Autre;Dose d'homologation (en kg ou L / ha);Dose d'homologation (en kg ou L / ha);New Biocontrol Column;Nombre de traitements autorisés;Spécialité commerciale;Matière active (M.A.);Autre;Dose d'homologation (en kg ou L / ha);Dose d'homologation (en kg ou L / ha);New Biocontrol Column;Nombre de traitements autorisés;Spécialité commerciale;Matière active (M.A.);New Biocontrol Column;Spécialité commerciale;Matière active (M.A.);Autre;Dose d'homologation (en kg ou L / ha);Dose d'homologation (en kg ou L / ha);Insecticide;New Biocontrol Column;Nombre de traitements autorisés
CUPROXAT PRET A L'EMPLOI;sulfate de cuivre tribasique ;Jardin autorisé;5.11;1000.0;51.1;4.0;MICROTHIOL SPECIAL DISPERSS;soufre triture ventile ;;20.0;16.0;1.0;1.0;;;;;;;;;;;PREV-GOLD;huile essentielle d'orange ;;2.4;0.1;1;1;3.0
NORDOX 75 WG;cuivre ;;75.0;5.333;4.0;;MICROTHIOL SPECIAL DISPERSS;soufre triture ventile ;;12.5;10.0;1.0;2.0;;;;;;;;;;;PREV-GOLD;huile essentielle d'orange ;;2.4;0.1;1;1;6.0
NORDOX 75 WG;cuivre ;;75.0;2.0;1.5;;MICROTHIOL SPECIAL DISPERSS;soufre triture ventile ;;12.5;10.0;1.0;8.0;;;;;;;;;;;PREV-GOLD;huile essentielle d'orange ;;2.4;0.1;1;1;6.0
SUPER BOUILLIE MACCLESFIELD 80;sulfate de cuivre ;;20.0;20.0;4.0;;SOUFRE TRITURE 95%;soufre ;;25.0;23.8;1.0;5.0;;;;;;;;;;;KARBICURE SP;hydrogénocarbonate de potassium ;;5.0;4.2;0;1;8.0
SUPER BOUILLIE MACCLESFIELD 80;sulfate de cuivre ;;20.0;15.0;3.0;;VISUL WG;soufre ;;7.5;6.0;1.0;2.0;;;;;;;;;;;KARBICURE SP;hydrogénocarbonate de potassium ;;5.0;4.2;0;1;8.0
COPERNICO HI BIO WG;cuivre de l'hydroxyde de cuivre ;;25.0;3.0;0.8;5.0;VISUL WG;soufre ;;12.5;10.0;1.0;8.0;;;;;;;;;;;ERADICOAT;maltodextrine ;;75.0;44.8;1;1;20.0
CHAMP FLO AMPLI;cuivre de l'hydroxyde de cuivre ;;36.0;2.0;0.7;12.0;FLOSUL;soufre ;;4.0;3.2;1.0;8.0;;;;;;;;;;;LALGUARD M52 OD;Metarhizium anisopliae var. anisopliae strain F52 ;;1.25;250000000.0;1;0;6.0
CHAMP FLO AMPLI;cuivre de l'hydroxyde de cuivre ;;36.0;11.0;4.0;;VITIFIX;soufre ;;25.0;24.6;1.0;8.0;;;;;;;;;;;VINTEC;Trichoderma atroviride SC1 ;;0.2;200000.0;0;1;4.0
CHAMP FLO AMPLI;cuivre de l'hydroxyde de cuivre ;;36.0;2.0;0.7;12.0;THIOVIT JARDIN;soufre ;Jardin autorisé;2.0;1.6;1.0;1.0;;;;;;;;;;;VINTEC;Trichoderma atroviride SC1 ;;0.2;200000.0;0;1;2.0
CUPROXAT JARDIN;sulfate de cuivre tribasique ;Jardin autorisé;34.5;3.95;1.4;5.0;THIOVIT JARDIN;soufre ;Jardin autorisé;2.0;1.6;1.0;1.0;;;;;;;;;;;VINTEC;Trichoderma atroviride SC1 ;;0.2;200000.0;0;1;2.0
CUPROXAT JARDIN;sulfate de cuivre tribasique ;Jardin autorisé;34.5;3.95;1.4;5.0;THIOVIT JARDIN;soufre ;Jardin autorisé;1.25;1.0;1.0;8.0;;;;;;;;;;;VINTEC;Trichoderma atroviride SC1 ;;0.2;200000.0;0;1;4.0
CUPROXAT JARDIN;sulfate de cuivre tribasique ;Jardin autorisé;34.5;3.95;1.4;4.0;THIOVIT JARDIN;soufre ;Jardin autorisé;1.25;1.0;1.0;8.0;;;;;;;;;;;MESSAGER;COS-OGA ;;2.0;0.0;0;1;8.0
CUPROXAT JARDIN;sulfate de cuivre tribasique ;Jardin autorisé;34.5;3.95;1.4;4.0;THIOVIT JET MICROBILLES;soufre ;;20.0;16.0;1.0;1.0;;;;;;;;;;;OROCIDE;huile essentielle d'orange ;;1.6;0.1;1;1;6.0
BOUILLIE BORDELAISE MANICA N.C.;sulfate de cuivre ;;20.0;20.0;4.0;;THIOVIT JET MICROBILLES;soufre ;;20.0;16.0;1.0;1.0;;;;;;;;;;;OROCIDE;huile essentielle d'orange ;;1.6;0.1;1;1;6.0
BOUILLIE BORDELAISE MANICA N.C.;sulfate de cuivre ;;20.0;7.5;1.5;5.0;THIOVIT JET MICROBILLES;soufre ;;12.5;10.0;1.0;8.0;;;;;;;;;;;OROCIDE;huile essentielle d'orange ;;2.0;0.1;1;1;2.0
FUNGURAN-OH 300 SC;hydroxyde de cuivre ;;46.1;2.5;1.2;4.0;THIOVIT JET MICROBILLES;soufre ;;12.5;10.0;1.0;8.0;;;;;;;;;;;OROCIDE;huile essentielle d'orange ;;1.6;0.1;1;1;6.0
FUNGURAN OH;hydroxyde de cuivre ;;76.77;1.5;1.2;4.0;MICROTHIOL SPECIAL JARDIN;soufre ;Jardin autorisé;20.0;16.0;1.0;1.0;;;;;;;;;;;OROCIDE;huile essentielle d'orange ;;1.6;0.1;1;1;6.0
CUPROCOL DUO;cuivre ;;28.0;2.0;0.6;3.0;MICROTHIOL SPECIAL JARDIN;soufre ;Jardin autorisé;20.0;16.0;1.0;1.0;;;;;;;;;;;PROBLAD;extrait aqueux des graines germées de Lupinus albus doux ;;3.2;3.2;0;1;6.0
CUPROCOL DUO;cuivre ;;28.0;2.5;0.7;5.0;MICROTHIOL SPECIAL JARDIN;soufre ;Jardin autorisé;12.5;10.0;1.0;2.0;;;;;;;;;;;PROBLAD;extrait aqueux des graines germées de Lupinus albus doux ;;2.0;2.0;0;1;6.0
CUPROCOL DUO;cuivre ;;28.0;2.0;0.6;3.0;MICROTHIOL SPECIAL JARDIN;soufre ;Jardin autorisé;12.5;10.0;1.0;8.0;;;;;;;;;;;NATURALIS;Beauveria bassiana strains ATCC 74040 and GHA ;;1.5;3450000.0;1;1;5.0
CUPROCOL DUO;cuivre ;;28.0;2.5;0.7;5.0;GRAIN D'OR;soufre ;;25.0;24.6;1.0;8.0;;;;;;;;;;;NATURALIS;Beauveria bassiana strains ATCC 74040 and GHA ;;1.5;3450000.0;1;1;5.0
CUPROZIN 35 WP;cuivre ;;35.0;3.0;1.0;5.0;SOFRAL FLO;soufre micronisé ;;12.1;9.7;1.0;8.0;;;;;;;;;;;BOTECTOR;Aureobasidium pullulans souche DSM 14940 ;;0.4;;0;1;4.0
CUPROXAT SC;sulfate de cuivre tribasique ;;34.5;3.95;1.4;5.0;COSAVET DF;soufre ;;12.5;10.0;1.0;8.0;;;;;;;;;;;BOTECTOR;Aureobasidium pullulans souche DSM 14940 ;;1.0;;0;1;4.0
HELIOCUIVRE;hydroxyde de cuivre ;;64.5;10.0;6.4;;COSAVET DF;soufre ;;20.0;16.0;1.0;1.0;;;;;;;;;;;FYTOSAVE;COS-OGA ;;2.0;0.0;0;1;8.0
HELIOCUIVRE;hydroxyde de cuivre ;;64.5;3.0;1.9;;;;;;;;;;;;;;;;;;;BOTANIGARD 22 WP;Beauveria bassiana souche GHA ;;0.75;3300000.0;1;1;12.0
BOUILLIE BORDELAISE RSR DISPERSS JARDIN;cuivre ;Jardin autorisé;20.0;2.0;0.4;;;;;;;;;;;;;;;;;;;BOTANIGARD OD;Beauveria bassiana souche GHA ;;1.2;2400000.0;1;1;10.0
